source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,Cluster,log_p_value
WP,WP:WP4346,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,2.448630672123878e-05,True,Cholesterol metabolism with Bloch and Kandutsch Russell pathways,52,29,6,4496,0.20689655172413793,0.11538461538461539,query_1,['WP:000000'],2,4.611076714734159
GO:MF,GO:0016861,"intramolecular oxidoreductase activity, interconverting aldoses and ketoses",0.0002337873113119371,True,"""Catalysis of an oxidation-reduction (redox) reaction in which the hydrogen donor and acceptor, which is an aldose or a ketose, are the same molecule, and no oxidized product appears."" [GOC:jl]",5,88,3,25063,0.03409090909090909,0.6,query_1,['GO:0016860'],2,3.631179063647869
KEGG,KEGG:00051,Fructose and mannose metabolism,0.0003923107333425528,True,Fructose and mannose metabolism,36,66,5,9330,0.07575757575757576,0.1388888888888889,query_1,['KEGG:00000'],2,3.406369809719876
GO:MF,GO:0016741,"transferase activity, transferring one-carbon groups",0.0006563791527289894,True,"""Catalysis of the transfer of a one-carbon group from one compound (donor) to another (acceptor)."" [GOC:jl, ISBN:0198506732]",222,88,8,25063,0.09090909090909091,0.036036036036036036,query_1,['GO:0016740'],2,3.1828452210353686
KEGG,KEGG:00100,Steroid biosynthesis,0.0008248902931469656,True,Steroid biosynthesis,20,66,4,9330,0.06060606060606061,0.2,query_1,['KEGG:00000'],2,3.0836038069034744
GO:BP,GO:0089718,amino acid import across plasma membrane,0.001406988949681564,True,"""The directed movement of an amino acid from outside of a cell, across the plasma membrane and into the cytosol."" [GOC:krc, PMID:8195186]",54,87,5,26944,0.05747126436781609,0.09259259259259259,query_1,"['GO:0003333', 'GO:0098739']",2,2.8517093134473908
GO:MF,GO:0016788,"hydrolase activity, acting on ester bonds",0.0015860614153329097,True,"""Catalysis of the hydrolysis of any ester bond."" [GOC:jl]",770,88,13,25063,0.14772727272727273,0.016883116883116882,query_1,['GO:0016787'],2,2.7996799999794626
GO:BP,GO:0019319,hexose biosynthetic process,0.0020215655376760546,True,"""The chemical reactions and pathways resulting in the formation of hexose, any monosaccharide with a chain of six carbon atoms in the molecule."" [ISBN:0198506732]",106,87,6,26944,0.06896551724137931,0.05660377358490566,query_1,"['GO:0019318', 'GO:0046364']",2,2.6943121745926404
GO:MF,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,0.002295773839009913,True,"""Catalysis of the transfer of a methyl group from S-adenosyl-L-methionine to a substrate."" [GOC:mah]",185,88,7,25063,0.07954545454545454,0.03783783783783784,query_1,['GO:0008168'],2,2.639070897331468
GO:BP,GO:0046031,ADP metabolic process,0.002381269808175589,True,"""The chemical reactions and pathways involving ADP, adenosine 5'-diphosphate."" [GOC:go_curators]",109,87,6,26944,0.06896551724137931,0.05504587155963303,query_1,"['GO:0009150', 'GO:0009179']",2,2.623191394362741
